source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'fox-news', 'name': 'Fox News'}",,Netanyahu threatens to sue New York Times for 'clear defamation' over misleading Gaza reporting,"Israeli Prime Minister Benjamin Netanyahu blasted The New York Times for what he called ‘defamation,’ accusing the paper of publishing a misleading photo.",https://www.foxnews.com/media/netanyahu-threatens-sue-new-york-times-clear-defamation-over-misleading-gaza-reporting,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/benjamin-netanyahu-nyt.jpg,2025-08-07T21:31:23Z,"Israeli Prime Minister Benjamin Netanyahu is accusing The New York Times of defamation over its reporting on starvation in Gaza, specifically a front-page photo of an emaciated child that the paper l… [+2999 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,The Browser Company’s AI browser now has a $20 subscription,"The Browser Company — the makers of the Arc browser — just launched a $20 per month subscription to its new AI-powered web browser, Dia, as reported earlier by TechCrunch. The new Dia Pro subscription comes with unlimited access to the browser’s chat feature,…",https://www.theverge.com/news/756427/browser-company-dia-pro-ai-pricing,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/CleanShot-2025-06-11-at-08.38.39%402x.png?quality=90&strip=all&crop=0%2C14.118071854125%2C100%2C71.763856291749&w=1200,2025-08-07T21:30:34Z,"<ul><li></li><li></li><li></li></ul>
A Dia Pro subscription comes with unlimited access to the browsers AI chat feature.
A Dia Pro subscription comes with unlimited access to the browsers AI chat f… [+2527 chars]"
"{'id': 'cnn', 'name': 'CNN'}",CNN بالعربية,"الإمارات: تسجيل هزة أرضية بقوة 3.5 درجة ""دون أي تأثير""",سجلت محطات الشبكة الوطنية لرصد الزلازل التابعة للمركز الوطني للأرصاد في الإمارات، هزة أرضية بقوة 3.5 درجة على مقياس ريختر في السلع، الجمعة، بحسب التوقيت المحلي.,https://arabic.cnn.com/middle-east/article/2025/08/08/uae-35-magnitude-earthquake-recorded-no-impact,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,h_1008,c_fill,q_auto,g_center/t_cnnarabic_watermark_logo_v5/cnnarabic/2025/08/08/images/306072.jpg",2025-08-07T21:28:20Z,
"{'id': 'cnn', 'name': 'CNN'}",CNN بالعربية,كاميرا CNN تلتقط صورًا جوية للدمار الهائل في قطاع غزة,"قال ماثيو تشانس، مراسل شبكة CNN، خلال تحليقه على متن إحدى الطائرات التي تقل على متنها المساعدات لإسقاطها فوق غزة: ""لقد قضيتُ معظم هذه الرحلة أنظر من النافذة إلى قطاع غزة في الأسفل.""",https://arabic.cnn.com/middle-east/video/2025/08/08/v178743-chance-aid-drop-vert-2,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1920,h_1008,c_fill,q_auto,g_center/t_cnnarabic_watermark_logo_v5/cnnarabic/2025/08/08/images/306071.jpg",2025-08-07T21:22:40Z,
"{'id': 'fox-news', 'name': 'Fox News'}",,Pete Buttigieg doubles-down on questioning fairness of trans athletes in women's sports,"Pete Buttigieg again acknowledged a fairness issues with transgender athlete participation in women's sports, joining other Democrats who question allowing it.",https://www.foxnews.com/sports/pete-buttigieg-doubles-down-questioning-fairness-trans-athletes-womens-sports,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/pete-buttigieg-trans-athlete-double-down.jpg,2025-08-07T21:20:09Z,"Prominent Democrat and former U.S. Secretary of Transportation Pete Buttigieg addressed his recent comments about the fairness of letting biological males compete in women's and girls' sports. 
Afte… [+4284 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",,Israeli security cabinet discusses plan to fully occupy Gaza,"The Israeli Prime Minister Benjamin Netanyahu has been meeting with his security cabinet and says he wants a complete military takeover of the entire Gaza Strip, starting with Gaza City. The Israeli leader believes a full takeover is “the only way” to destroy…",https://www.bbc.co.uk/programmes/w172zss6c83r3wp,https://ichef.bbci.co.uk/images/ic/1200x675/p0lvs5f0.jpg,2025-08-07T21:17:00Z,"The Israeli Prime Minister Benjamin Netanyahu has been meeting with his security cabinet and says he wants a complete military takeover of the entire Gaza Strip, starting with Gaza City. The Israeli … [+475 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Eagles star wide receiver A.J. Brown reveals peculiar reason why he didn't play college football at Georgia,Philadelphia Eagles star wide receiver A.J. Brown revealed the peculiar reason he decided not to play college football with the Georgia Bulldogs.,https://www.foxnews.com/sports/eagles-star-wide-receiver-aj-brown-reveals-peculiar-reason-why-he-didnt-play-college-football-georgia,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/aj-brown-georgia-fox-news.jpg,2025-08-07T21:13:55Z,"Philadelphia Eagles star wide receiver A.J. Brown recently revealed his reason for not playing football at Georgia. And it's oddly specific. 
Brown, 28, said that Georgia recruited him, but he didnt… [+1916 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,First lady Melania Trump to continue 'tradition' of White House tours following pause,Melania Trump's Office of the First Lady tells Fox News Digital the White House tours have been put on a temporary pause as work begins on massive State Ballroom addition.,https://www.foxnews.com/travel/first-lady-melania-trump-continue-tradition-white-house-tours-following-pause,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/white-house-tours.jpg,2025-08-07T21:13:50Z,"FIRST ON FOX As the White House prepares to begin construction on the addition of a New State Ballroom, tours for the public have been put on a pause. 
Nicholas Clemens, communications director for … [+1643 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"ICE could get boost from National Guard if called, Iowa governor says",Kim Reynolds says Iowa National Guard stands ready to help ICE with clerical work as part of immigration enforcement efforts across multiple states,https://www.foxnews.com/politics/ice-could-get-boost-from-national-guard-called-iowa-governor-says,https://static.foxnews.com/foxnews.com/content/uploads/2023/07/kim_reynolds.jpg,2025-08-07T21:12:58Z,"Iowa Gov. Kim Reynolds announced Wednesday that members of the state's National Guard have been prepped to work alongside ICE, citing a mutual aid authorization from the Pentagon reported by the Quad… [+1641 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",,07/08/2025 21:01 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172zwwr5blm326,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2025-08-07T21:06:00Z,The latest five minute news bulletin from BBC World Service.
"{'id': 'fox-news', 'name': 'Fox News'}",,Hulk Hogan's widow reveals reason behind delayed cremation; Brooke Hogan offers to pay for autopsy,"Hulk Hogan died July 24 at age 71, and though a cremation was approved, his family delayed it to address questions about his medical care.",https://www.foxnews.com/sports/hulk-hogans-widow-reveals-reason-behind-delayed-cremation-brooke-hogan-offers-pay-autopsy,https://static.foxnews.com/foxnews.com/content/uploads/2023/01/Hulk-Hogan4.jpg,2025-08-07T21:03:19Z,"Professional wrestling icon Hulk Hogan was supposed to be cremated but was instead laid to rest earlier this week.
Hogan died July 24 at the age of 71, and his cremation was approved July 30, accord… [+2546 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Cincinnati viral beating victim says violent mob started attacking 'like a pack of wolves',Six arrested in connection with downtown Cincinnati attack that left Holly with life-altering injuries when she tried to help another victim.,https://www.foxnews.com/us/cincinnati-viral-beating-victim-says-violent-mob-started-attacking-like-a-pack-of-wolves,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/cincinnati-brawl-victim-holly-ohio-thumb.jpg,2025-08-07T21:00:32Z,"CINCINNATI, OH Tune into The Ingraham Angle at 7pET for an exclusive interview with Holly, the woman who was beaten by a vicious mob in Cincinnati.
The woman seen being violently slammed to the grou… [+7983 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Climate lawfare campaign dealt blow in South Carolina,Charleston's climate lawsuit against energy companies was dismissed by a South Carolina judge who cited concerns about opening floodgates to weather-related litigation.,https://www.foxnews.com/politics/climate-lawfare-campaign-dealt-blow-south-carolina,https://static.foxnews.com/foxnews.com/content/uploads/2025/07/climate-protest-judge-gavel-blend.jpg,2025-08-07T20:51:29Z,"A judge on Wednesday dismissed the City of Charleston's lawsuit against two dozen energy companies, saying the court does not have authority under South Carolina law to move forward with lawsuits tha… [+3234 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"Trump, GOP fight antisemitic violence amid latest FBI probe — in sharp contrast to Biden's silence",House Homeland Security Committee warns of rising antisemitic violence after FBI launches probe into targeted attack on former Israeli soldier in Missouri.,https://www.foxnews.com/politics/trump-gop-fight-antisemitic-violence-amid-latest-fbi-probe-sharp-contrast-bidens-silence,https://static.foxnews.com/foxnews.com/content/uploads/2025/05/trump-harvard-antisemitism.jpg,2025-08-07T20:46:23Z,"President Donald Trump has taken a much harsher approach to address the rise of antisemitic violence in the U.S. in comparison to his predecessor, from launching task forces to penalizing academic in… [+5886 chars]"
"{'id': 'cnn', 'name': 'CNN'}",,US Air Force to deny retirement pay to transgender service members being separated from the service | CNN Politics,The U.S. Air Force said Thursday it would deny all transgender service members who have served between 15 and 18 years the option to retire early and would instead separate them without retirement benefits.,https://www.cnn.com/2025/08/07/politics/air-force-to-deny-retirement-pay-transgender-service-members,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1240901002.jpg?c=16x9&q=w_800,c_fill",2025-08-07T20:39:40Z,The U.S. Air Force said Thursday it would deny all transgender service members who have served between 15 and 18 years the option to retire early and would instead separate them without retirement be… [+1751 chars]
"{'id': 'cnn', 'name': 'CNN'}",CNN بالعربية,"استخدم رمحًا لقتلها.. صياد يمسك قرش ""الثريشر"" بطول حوالي 5 أمتار","تمكن صياد أسماك من سحب سمكة قرش من نوع ""الثريشر"" بعد أن استغرق الأمر حوالي ست ساعات من الصيد الشاق.",https://arabic.cnn.com/miscellaneous/video/2025/08/08/v178738-ct-man-catches-record-breaking-shark,"https://cnn-arabic-images.cnn.io/cloudinary/image/upload/w_1875,h_984,c_fill,q_auto,g_center/t_cnnarabic_watermark_logo_v5/cnnarabic/2025/08/07/images/306067.jpg",2025-08-07T20:30:29Z,
"{'id': 'fox-news', 'name': 'Fox News'}",,Veteran Biden insider Anita Dunn confronted by Fox News after facing grilling from GOP,Veteran Biden inside Anita Dunn was confronted by Fox News after she was grilled by the House Oversight Committee about Biden's cognitive decline and inner circle concealment.,https://www.foxnews.com/politics/veteran-biden-insider-anita-dunn-confronted-fox-news-after-facing-grilling-from-gop,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/anita-dunn-questioned-by-fox-news-capitol-hill.jpg,2025-08-07T20:28:37Z,"Democratic strategist Anita Dunn, who was grilled by the House Oversight Committee on Thursday about President Joe Bidens cognitive health, declined to answer any questions from Fox News as she walke… [+1859 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"$93 million in aid to fight malnutrition headed to 12 African countries, Haiti, State Dept says",New $93 million food aid initiative will provide ready-use therapeutic food to combat child malnutrition across Haiti and 12 African countries until June.,https://www.foxnews.com/politics/93-million-aid-fight-malnutrition-headed-12-african-countries-haiti-state-dept-says,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/gettyimages-2156963515-scaled.jpg,2025-08-07T20:25:00Z,"The Trump administration will deliver $93 million in new food aid to 12 African countries and Haiti to fight malnutrition, the State Department has announced.
State Department spokesperson Tommy Pig… [+2161 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Cops sweep yacht after Irish bikini model dies in glamorous Hamptons harbor,The family of Martha Nolan-O'Slatarra expressed shock after the bikini designer was found dead on a Montauk yacht that crime investigators were examining.,https://www.foxnews.com/us/cops-sweep-yacht-scene-after-irish-bikini-model-dies-glamorous-hamptons-harbor,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/martha-nolan-split-boat-police.jpg,2025-08-07T20:23:05Z,"MONTAUK, N.Y. Local law enforcement officials scoured a luxurious yacht in Montauk after an Irish bikini designer was found dead and as new details emerged in the ongoing investigation into the 33-ye… [+5241 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Cops sweep yacht after Irish bikini mogul dies in glamorous Hamptons harbor,The family of Martha Nolan-O'Slatarra expressed shock after the bikini designer was found dead on a Montauk yacht that crime investigators were examining.,https://www.foxnews.com/us/cops-sweep-yacht-after-irish-bikini-mogul-dies-in-glamorous-hamptons-harbor,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/martha-nolan-split-boat-police.jpg,2025-08-07T20:23:05Z,"MONTAUK, N.Y. Local law enforcement officials scoured a luxurious yacht in Montauk after an Irish bikini designer was found dead and as new details emerged in the ongoing investigation into the 33-ye… [+5333 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Sheena Vasani,The latest iPad Air is cheaper than ever,"Laptops are great, but sometimes it’s simply just more convenient to use a tablet like the iPad Air. The Air’s easier to carry, after all, and still powerful enough to handle everything from streaming to taking notes and reading. And right now, the latest ver…",https://www.theverge.com/tech/756304/apple-m3-ipad-air-back-to-school-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/VERGE-DEALS-DAILY-IMAGE-13.png?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-08-07T20:18:08Z,"<ul><li></li><li></li><li></li></ul>
Multiple retailers are taking $150 off the 11-inch and 13-inch models, beating the previous record low price set during Amazon Prime Day.
Multiple retailers are… [+2754 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,$30K in migrant housing aid has Dem gov on hot seat for 'revolving door' policy,"As Gov. Maura Healey, D-Mass., closes down her state's migrant shelters, she is facing criticism for simultaneously making migrants eligible for tens of thousands in housing aid.",https://www.foxnews.com/politics/30k-migrant-housing-aid-has-dem-gov-hot-seat-revolving-door-policy,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/healey-migrants-at-logan-airport.png,2025-08-07T20:12:57Z,"While she is shutting down her sanctuary states migrant shelters, critics are accusing Democratic Massachusetts Gov. Maura Healey of simply shifting the costs over to a program that makes migrants el… [+3594 chars]"
"{'id': 'bbc-news', 'name': 'BBC News'}",,07/08/2025 20:01 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172zwwr5bllzb2,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2025-08-07T20:06:00Z,The latest five minute news bulletin from BBC World Service.
"{'id': 'cnn', 'name': 'CNN'}",Bryan Mena,Trump nominates Stephen Miran to fill vacancy at the Fed | CNN Business,President Donald Trump on TKday said he is nominating Stephen Miran to fill a vacancy at the Federal Reserve’s Board of Governors on a temporary basis,https://www.cnn.com/2025/08/07/business/stephen-miran-fed-trump-nominate,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2212149097-copy.jpg?c=16x9&q=w_800,c_fill",2025-08-07T20:01:38Z,"President Donald Trump said Thursday he is nominating Stephen Miran to fill a vacancy at the Federal Reserves Board of Governors on a temporary basis.
Miran is currently the chair of the Council of … [+1024 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,'Diva' Crockett slammed in scathing report alleging 'toxic staff environment' where staff is berated to tears,"A scathing new report alleges that Dem. Rep. Jasmine Crockett, a frequent Trump critic, has fostered a toxic working environment in her congressional office.",https://www.foxnews.com/politics/dismiss-this-notice-diva-crockett-slammed-in-scathing-report-alleging-toxic-staff-environment-where-staff-is-berated-to-tears,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/jasmine-crockett-shouting.jpg,2025-08-07T19:58:42Z,"Democratic Rep. Jasmine Crockett, one of the most prominent anti-Trump voices in Congress, is the subject of a scathing report this week that labels her as a ""diva"" and someone who terrorizes staff m… [+3300 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,Chiefs legend Derrick Johnson warns 'the devil' is weakening American children,"Seven years after retiring from the NFL, Derrick Johnson released a children's book addressing bullying while advocating Christian values in parenting.",https://www.foxnews.com/sports/chiefs-legend-derrick-johnson-warns-the-devil-weakening-american-children-parents-must-fight-back,https://static.foxnews.com/foxnews.com/content/uploads/2025/08/derrick-johnson-chiefs.jpg,2025-08-07T19:58:26Z,"Seven years after playing his final NFL game, former Kansas City Chiefs star Derrick Johnson is turning his attention to educating the youth of America. 
Johnson, who published his first children's … [+3331 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Emma Roth,The 6 biggest changes coming to ChatGPT,"GPT-5 has finally arrived. Along with the announcement of the highly anticipated AI model, OpenAI also previewed several updates coming to ChatGPT, ranging from visual changes to improvements to the chatbot’s performance. Here’s a rundown of all of the change…",https://www.theverge.com/news/756342/openai-chatgpt-gpt-5-update-biggest-changes,https://platform.theverge.com/wp-content/uploads/sites/2/2025/08/STK155_OPEN_AI_4_CVirginia_A.png?quality=90&strip=all&crop=0%2C10.742221417566%2C100%2C78.515557164868&w=1200,2025-08-07T19:58:01Z,"<ul><li></li><li></li><li></li></ul>
OpenAI is launching a bunch of new features for ChatGPT, allowing you to give its responses a personality and customize its UI.
OpenAI is launching a bunch of n… [+4873 chars]"
